category,categoryName,dateDeadLineBet,dateMatch,key,libteamA,libteamB,resultA,resultB,teamA,teamB
GROUPE,GROUPEA,2019-09-20T08:45:00Z,2019-09-20T10:45:00Z,GROUPEA_JAP_RUS,JAPAN,RUSSIA,,,JAP,RUS
GROUPE,GROUPED,2019-09-21T02:45:00Z,2019-09-21T04:45:00Z,GROUPED_AUS_FID,AUSTRALIA,FIDJI,,,AUS,FID
GROUPE,GROUPEC,2019-09-21T05:15:00Z,2019-09-21T07:15:00Z,GROUPEC_FRA_ARG,FRANCE,ARGENTINA,,,FRA,ARG
GROUPE,GROUPEB,2019-09-21T07:45:00Z,2019-09-21T09:45:00Z,GROUPEB_NZE_AFG,NEW ZEALAND,SOUTH AFRICA,,,NZE,AFG
GROUPE,GROUPEB,2019-09-22T03:15:00Z,2019-09-22T05:15:00Z,GROUPEB_ITA_NAM,ITALIA,NAMIBIA,,,ITA,NAM
GROUPE,GROUPEA,2019-09-22T05:45:00Z,2019-09-22T07:45:00Z,GROUPEA_IRL_ECO,IRELAND,SCOTLAND,,,IRL,ECO
GROUPE,GROUPEC,2019-09-22T08:15:00Z,2019-09-22T10:15:00Z,GROUPEC_ENG_TON,ENGLAND,TONGA,,,ENG,TON
GROUPE,GROUPED,2019-09-23T08:15:00Z,2019-09-23T10:15:00Z,GROUPED_WAL_GEO,WALES,GEORGIA,,,WAL,GEO
GROUPE,GROUPEA,2019-09-24T08:15:00Z,2019-09-24T10:15:00Z,GROUPEA_RUS_SAM,RUSSIA,SAMOA,,,RUS,SAM
GROUPE,GROUPED,2019-09-25T03:15:00Z,2019-09-25T05:15:00Z,GROUPED_FID_URU,FIDJI,URUGUAY,,,FID,URU
GROUPE,GROUPEB,2019-09-26T05:45:00Z,2019-09-26T07:45:00Z,GROUPEB_ITA_CAN,ITALIA,CANADA,,,ITA,CAN
GROUPE,GROUPEC,2019-09-26T08:45:00Z,2019-09-26T10:45:00Z,GROUPEC_ENG_USA,ENGLAND,USA,,,ENG,USA
GROUPE,GROUPEC,2019-09-28T02:45:00Z,2019-09-28T04:45:00Z,GROUPEC_ARG_TON,ARGENTINA,TONGA,,,ARG,TON
GROUPE,GROUPEA,2019-09-28T05:15:00Z,2019-09-28T07:15:00Z,GROUPEA_JAP_IRL,JAPAN,IRELAND,,,JAP,IRL
GROUPE,GROUPEB,2019-09-28T07:45:00Z,2019-09-28T09:45:00Z,GROUPEB_AFG_NAM,SOUTH AFRICA,NAMIBIA,,,AFG,NAM
GROUPE,GROUPED,2019-09-29T03:15:00Z,2019-09-29T05:15:00Z,GROUPED_GEO_URU,GEORGIA,URUGUAY,,,GEO,URU
GROUPE,GROUPED,2019-09-29T05:45:00Z,2019-09-29T07:45:00Z,GROUPED_AUS_WAL,AUSTRALIA,WALES,,,AUS,WAL
GROUPE,GROUPEA,2019-09-30T08:15:00Z,2019-09-30T10:15:00Z,GROUPEA_ECO_SAM,SCOTLAND,SAMOA,,,ECO,SAM
GROUPE,GROUPEC,2019-10-02T05:45:00Z,2019-10-02T07:45:00Z,GROUPEC_FRA_USA,FRANCE,USA,,,FRA,USA
GROUPE,GROUPEB,2019-10-02T08:15:00Z,2019-10-02T10:15:00Z,GROUPEB_NZE_CAN,NEW ZEALAND,CANADA,,,NZE,CAN
GROUPE,GROUPED,2019-10-03T03:15:00Z,2019-10-03T05:15:00Z,GROUPED_GEO_FID,GEORGIA,FIDJI,,,GEO,FID
GROUPE,GROUPEA,2019-10-03T08:15:00Z,2019-10-03T10:15:00Z,GROUPEA_IRL_RUS,IRELAND,RUSSIA,,,IRL,RUS
GROUPE,GROUPEB,2019-10-04T07:45:00Z,2019-10-04T09:45:00Z,GROUPEB_AFG_ITA,SOUTH AFRICA,ITALIA,,,AFG,ITA
GROUPE,GROUPED,2019-10-05T03:15:00Z,2019-10-05T05:15:00Z,GROUPED_AUS_URU,AUSTRALIA,URUGUAY,,,AUS,URU
GROUPE,GROUPEC,2019-10-05T06:00:00Z,2019-10-05T08:00:00Z,GROUPEC_ENG_ARG,ENGLAND,ARGENTINA,,,ENG,ARG
GROUPE,GROUPEA,2019-10-05T08:30:00Z,2019-10-05T10:30:00Z,GROUPEA_JAP_SAM,JAPAN,SAMOA,,,JAP,SAM
GROUPE,GROUPEB,2019-10-06T02:45:00Z,2019-10-06T04:45:00Z,GROUPEB_NZE_NAM,NEW ZEALAND,NAMIBIA,,,NZE,NAM
GROUPE,GROUPEC,2019-10-06T05:45:00Z,2019-10-06T07:45:00Z,GROUPEC_FRA_TON,FRANCE,TONGA,,,FRA,TON
GROUPE,GROUPEB,2019-10-08T08:15:00Z,2019-10-08T10:15:00Z,GROUPEB_AFG_CAN,SOUTH AFRICA,CANADA,,,AFG,CAN
GROUPE,GROUPEC,2019-10-09T02:45:00Z,2019-10-09T04:45:00Z,GROUPEC_ARG_USA,ARGENTINA,USA,,,ARG,USA
GROUPE,GROUPEA,2019-10-09T05:15:00Z,2019-10-09T07:15:00Z,GROUPEA_ECO_RUS,SCOTLAND,RUSSIA,,,ECO,RUS
GROUPE,GROUPED,2019-10-09T07:45:00Z,2019-10-09T09:45:00Z,GROUPED_WAL_FID,WALES,FIDJI,,,WAL,FID
GROUPE,GROUPED,2019-10-10T08:15:00Z,2019-10-10T10:15:00Z,GROUPED_AUS_GEO,AUSTRALIA,GEORGIA,,,AUS,GEO
GROUPE,GROUPEB,2019-10-12T02:45:00Z,2019-10-12T04:45:00Z,GROUPEB_NZE_ITA,NEW ZEALAND,ITALIA,,,NZE,ITA
GROUPE,GROUPEC,2019-10-12T06:15:00Z,2019-10-12T08:15:00Z,GROUPEC_ENG_FRA,ENGLAND,FRANCE,,,ENG,FRA
GROUPE,GROUPEA,2019-10-12T08:45:00Z,2019-10-12T10:45:00Z,GROUPEA_IRL_SAM,IRELAND,SAMOA,,,IRL,SAM
GROUPE,GROUPEB,2019-10-13T01:15:00Z,2019-10-13T03:15:00Z,GROUPEB_NAM_CAN,NAMIBIA,CANADA,,,NAM,CAN
GROUPE,GROUPEC,2019-10-13T07:45:00Z,2019-10-13T09:45:00Z,GROUPEC_USA_TON,USA,TONGA,,,USA,TON
GROUPE,GROUPED,2019-10-13T06:15:00Z,2019-10-13T08:15:00Z,GROUPED_WAL_URU,WALES,URUGUAY,,,WAL,URU
GROUPE,GROUPEA,2019-10-13T08:45:00Z,2019-10-13T10:45:00Z,GROUPEA_JAP_ECO,JAPAN,SCOTLAND,,,JAP,ECO
